timestamp,boss_type,dash_count
2025-05-01T10:15:23,fire,8
2025-05-01T10:18:45,ice,5
2025-05-01T10:22:11,fire,12
2025-05-01T10:25:37,ice,7
2025-05-01T10:29:02,fire,9
2025-05-01T10:32:28,fire,11
2025-05-01T10:35:54,ice,6
2025-05-01T10:39:20,fire,15
2025-05-01T10:42:46,ice,8
2025-05-01T10:46:12,fire,10
2025-05-01T10:49:38,fire,12
2025-05-01T10:53:04,ice,7
2025-05-01T10:56:30,fire,9
2025-05-01T10:59:56,ice,11
2025-05-01T11:03:22,fire,8
2025-05-01T11:06:48,fire,14
2025-05-01T11:10:14,ice,6
2025-05-01T11:13:40,fire,10
2025-05-01T11:17:06,ice,9
2025-05-01T11:20:32,fire,13
2025-05-01T11:23:58,fire,8
2025-05-01T11:27:24,ice,5
2025-05-01T11:30:50,fire,12
2025-05-01T11:34:16,ice,7
2025-05-01T11:37:42,fire,11
2025-05-01T11:41:08,fire,9
2025-05-01T11:44:34,ice,6
2025-05-01T11:48:00,fire,10
2025-05-01T11:51:26,ice,8
2025-05-01T11:54:52,fire,12
2025-05-01T11:58:18,fire,15
2025-05-01T12:01:44,ice,5
2025-05-01T12:05:10,fire,10
2025-05-01T12:08:36,ice,9
2025-05-01T12:12:02,fire,8
2025-05-01T12:15:28,fire,11
2025-05-01T12:18:54,ice,6
2025-05-01T12:22:20,fire,14
2025-05-01T12:25:46,ice,8
2025-05-01T12:29:12,fire,10
2025-05-01T12:32:38,fire,9
2025-05-01T12:36:04,ice,5
2025-05-01T12:39:30,fire,11
2025-05-01T12:42:56,ice,7
2025-05-01T12:46:22,fire,13
2025-05-01T12:49:48,fire,16
2025-05-01T12:53:14,ice,5
2025-05-01T12:56:40,fire,10
2025-05-01T13:00:06,ice,8
2025-05-01T13:03:32,fire,9
