time_stamp,playtime_seconds
2025-05-01T10:15:23,142
2025-05-01T10:18:45,55
2025-05-01T10:22:11,246
2025-05-01T10:25:37,97
2025-05-01T10:29:02,134
2025-05-01T10:32:28,218
2025-05-01T10:35:54,43
2025-05-01T10:39:20,327
2025-05-01T10:42:46,95
2025-05-01T10:46:12,224
2025-05-01T10:49:38,137
2025-05-01T10:53:04,73
2025-05-01T10:56:30,198
2025-05-01T10:59:56,103
2025-05-01T11:03:22,121
2025-05-01T11:06:48,312
2025-05-01T11:10:14,28
2025-05-01T11:13:40,228
2025-05-01T11:17:06,98
2025-05-01T11:20:32,157
2025-05-01T11:23:58,203
2025-05-01T11:27:24,64
2025-05-01T11:30:50,285
2025-05-01T11:34:16,107
2025-05-01T11:37:42,238
2025-05-01T11:41:08,123
2025-05-01T11:44:34,53
2025-05-01T11:48:00,226
2025-05-01T11:51:26,105
2025-05-01T11:54:52,208
2025-05-01T11:58:18,354
2025-05-01T12:01:44,32
2025-05-01T12:05:10,236
2025-05-01T12:08:36,112
2025-05-01T12:12:02,119
2025-05-01T12:15:28,242
2025-05-01T12:18:54,80
2025-05-01T12:22:20,309
2025-05-01T12:25:46,104
2025-05-01T12:29:12,252
2025-05-01T12:32:38,116
2025-05-01T12:36:04,45
2025-05-01T12:39:30,270
2025-05-01T12:42:56,101
2025-05-01T12:46:22,298
2025-05-01T12:49:48,354
2025-05-01T12:53:14,60
2025-05-01T12:56:40,260
2025-05-01T13:00:06,107
2025-05-01T13:03:32,122
